LPERMNO,year,stand_dev
10001,2006,0.024685489
10001,2007,0.019515728
10001,2008,0.04559592
10001,2009,0.026645266
10001,2010,0.016673858
10001,2011,0.009600828
10001,2012,0.012184958
10001,2013,0.012614948
10001,2014,0.015280639
10001,2015,0.018462282
10001,2016,0.043066149
10001,2017,0.003969021
10002,2006,0.023419071
10002,2007,0.025014241
10002,2008,0.081195935
10002,2009,0.070230585
10002,2010,0.034693062
10002,2011,0.029385445
10002,2012,0.052713047
10002,2013,0.014472753
10025,2006,0.019173987
10025,2007,0.024444215
10025,2008,0.043392008
10025,2009,0.039275282
10025,2010,0.028567751
10025,2011,0.025867509
10025,2012,0.014747087
10025,2013,0.02493275
10025,2014,0.022951825
10025,2015,0.025961937
10025,2016,0.037861912
10025,2017,0.033425774
10026,2006,0.019544421
10026,2007,0.022382866
10026,2008,0.026985938
10026,2009,0.019276827
10026,2010,0.014104414
10026,2011,0.020561832
10026,2012,0.014900514
10026,2013,0.011216077
10026,2014,0.012104732
10026,2015,0.015252431
10026,2016,0.011204857
10026,2017,0.010691979
10026,2018,0.013598393
10026,2019,0.015793209
10026,2020,0.034256494
10026,2021,0.013606201
10042,2006,0.043218131
10042,2007,0.049097068
10042,2008,0.053566249
10044,2006,0.019681654
10044,2007,0.018210374
10044,2008,0.042611493
10044,2009,0.034561696
10044,2010,0.014526112
10044,2011,0.015376891
10044,2012,0.015596675
10044,2013,0.011941714
10044,2014,0.011927572
10044,2015,0.015533891
10044,2016,0.014891259
10044,2017,0.014899904
10044,2018,0.013592866
10044,2019,0.012275901
10044,2020,0.046265128
10044,2021,0.037436048
10056,2006,0.02889426
10065,2006,0.00591747
10065,2007,0.00985124
10065,2008,0.021925517
10065,2009,0.016625286
10065,2010,0.0111936
10065,2011,0.014237404
10065,2012,0.007325539
10065,2013,0.006605984
10065,2014,0.006917428
10065,2015,0.008926839
10065,2016,0.008211061
10065,2017,0.004386244
10065,2018,0.010340163
10065,2019,0.007090981
10065,2020,0.021512216
10065,2021,0.007929659
10078,2006,0.020042634
10078,2007,0.020954613
10078,2008,0.046486015
10078,2009,0.065754649
10078,2010,0.002134927
10085,2006,0.001854688
10100,2006,0.057892479
10100,2007,0.069242283
10100,2008,0.123581833
10100,2009,0.215291671
10100,2010,0.092644513
10100,2011,0.057217938
10100,2012,0.08651952
10100,2013,0.102633269
10104,2006,0.015524902
10104,2007,0.017398149
10104,2008,0.030562701
10104,2009,0.020752193
10104,2010,0.015484747
10104,2011,0.022415661
10104,2012,0.012946983
10104,2013,0.014564156
10104,2014,0.012825977
10104,2015,0.013549098
10104,2016,0.012058062
10104,2017,0.011185518
10104,2018,0.016048817
10104,2019,0.012488303
10104,2020,0.025577292
10104,2021,0.018427036
10107,2006,0.012981165
10107,2007,0.014478832
10107,2008,0.030549979
10107,2009,0.02341661
10107,2010,0.013843861
10107,2011,0.014768539
10107,2012,0.013092923
10107,2013,0.015704714
10107,2014,0.011978529
10107,2015,0.017767736
10107,2016,0.014293681
10107,2017,0.009323742
10107,2018,0.017804017
10107,2019,0.012489758
10107,2020,0.027644202
10107,2021,0.013259372
10119,2006,0.014442077
10119,2007,0.020118038
10137,2006,0.010681117
10137,2007,0.014854924
10137,2008,0.032985524
10137,2009,0.022217172
10137,2010,0.015526349
10137,2011,0.010415859
10138,2006,0.013942175
10138,2007,0.022355706
10138,2008,0.047700762
10138,2009,0.040698914
10138,2010,0.019519498
10138,2011,0.025892385
10138,2012,0.013416471
10138,2013,0.01253823
10138,2014,0.010931736
10138,2015,0.011992697
10138,2016,0.014397536
10138,2017,0.011301636
10138,2018,0.016078241
10138,2019,0.014338093
10138,2020,0.03025005
10138,2021,0.015887892
10143,2006,0.020334564
10143,2007,0.019804843
10143,2008,0.030082495
10143,2009,0.026500238
10143,2010,0.051535795
10145,2006,0.011891364
10145,2007,0.013569422
10145,2008,0.028944161
10145,2009,0.024429445
10145,2010,0.016063343
10145,2011,0.020567902
10145,2012,0.012872111
10145,2013,0.010346601
10145,2014,0.010107095
10145,2015,0.012559573
10145,2016,0.011183432
10145,2017,0.006380318
10145,2018,0.012157246
10145,2019,0.010888301
10145,2020,0.028517397
10145,2021,0.011964256
10147,2006,0.015158132
10147,2007,0.020493208
10147,2008,0.033282941
10147,2009,0.023170512
10147,2010,0.016348172
10147,2011,0.018917385
10147,2012,0.018075189
10147,2013,0.013124444
10147,2014,0.011189353
10147,2015,0.015883396
10147,2016,0.008586146
10163,2006,0.022559762
10163,2007,0.024954666
10163,2008,0.059190616
10163,2009,0.03694975
10163,2010,0.027999602
10163,2011,0.028512421
10163,2012,0.043399019
10180,2006,0.029870118
10180,2007,0.023638824
10180,2008,0.065486395
10180,2009,0.065772401
10180,2010,0.04469351
10180,2011,0.031224835
10180,2012,0.02376407
10180,2013,0.020264078
10180,2014,0.024800729
10180,2015,0.037441844
10180,2016,0.044051503
10180,2017,0.019910274
10180,2018,0.061153525
10180,2019,0.053197781
10180,2020,0.155257146
10182,2006,0.015247469
10182,2007,0.013567623
10182,2008,0.022455214
10182,2009,0.024928768
10182,2010,0.018563221
10182,2011,0.020388269
10182,2012,0.015174529
10182,2013,0.013419034
10182,2014,0.014876458
10182,2015,0.020739522
10182,2016,0.023361282
10182,2017,0.020694362
10182,2018,0.027312722
10182,2019,0.023605811
10182,2020,0.031531868
10201,2010,0.01072205
10201,2011,0.016687823
10201,2012,0.013504915
10201,2013,0.03664493
10201,2014,0.040258955
10201,2015,0.029225602
10201,2016,0.026500253
10201,2017,0.019889891
10201,2018,0.021361798
10201,2019,0.018866229
10201,2020,0.027138728
10201,2021,0.042182391
10205,2006,0.012237326
10205,2007,0.013097873
10205,2008,0.040155172
10205,2009,0.039885112
10205,2010,0.036729835
10207,2006,0.015873837
10207,2007,0.017509403
10207,2008,0.036767097
10207,2009,0.020560028
10207,2010,0.014929595
10207,2011,0.0174361
10207,2012,0.010632037
10207,2013,0.008743349
10207,2014,0.009196241
10207,2015,0.009780584
10207,2016,0.011679185
10207,2017,0.006389782
10207,2018,0.008888873
10207,2019,0.008176091
10207,2020,0.023373087
10207,2021,0.010774544
10211,2006,0.010937497
10220,2010,0.017373576
10220,2011,0.026827813
10220,2012,0.016567302
10220,2013,0.011223784
10220,2014,0.014645729
10220,2015,0.01367084
10220,2016,0.012734799
10220,2017,0.010686787
10220,2018,0.021360651
10220,2019,0.015316252
10220,2020,0.024970529
10220,2021,0.015390967
10225,2006,0.01001742
10225,2007,0.011599139
10225,2008,0.027857638
10225,2009,0.031081709
10225,2010,0.016954147
10225,2011,0.016057055
10225,2012,0.012455502
10225,2013,0.010846843
10225,2014,0.027276991
10232,2006,0.01943477
10232,2007,0.02598013
10232,2008,0.06105553
10232,2009,0.053813142
10232,2010,0.024743495
10232,2011,0.020390278
10232,2012,0.020995781
10232,2013,0.021880355
10232,2014,0.020280774
10232,2015,0.015789163
10232,2016,0.018676396
10232,2017,0.008986943
10232,2018,0.00876942
10232,2019,0.017209008
10232,2020,0.02922094
10232,2021,0.047173354
10238,2006,0.054834014
10238,2007,0.017264778
10238,2008,0.031146982
10239,2006,0.016155265
10239,2007,0.017066397
10239,2008,0.037115845
10239,2009,0.030865536
10239,2010,0.022498899
10239,2011,0.02130044
10239,2012,0.01696717
10239,2013,0.018358865
10239,2014,0.012756382
10239,2015,0.010624701
10239,2016,0.011649819
10239,2017,0.010954196
10239,2018,0.014359901
10239,2019,0.018845306
10239,2020,0.039958273
10239,2021,0.052559927
10252,2006,0.017755027
10252,2007,0.022705472
10252,2008,0.039469263
10252,2009,0.03675347
10252,2010,0.02007218
10252,2011,0.02662295
10252,2012,0.014026967
10252,2013,0.010940245
10252,2014,0.012404858
10252,2015,0.014867349
10252,2016,0.016549588
10252,2017,0.015857889
10252,2018,0.015544783
10252,2019,0.015542558
10252,2020,0.036044369
10252,2021,0.018682043
10257,2006,0.02815606
10257,2007,0.048006768
10257,2008,0.070328917
10257,2009,0.079191611
10257,2010,0.064206158
10257,2011,0.091697996
10257,2012,0.050343963
10257,2013,0.085975094
10257,2014,0.05640522
10257,2015,0.045085125
10257,2016,0.036578964
10257,2017,0.026817011
10257,2018,0.026256629
10257,2019,0.031451761
10257,2020,0.044326376
10257,2021,0.03151379
10259,2006,0.038330196
10259,2007,0.037327011
10259,2008,0.056039476
10259,2009,0.034817056
10259,2010,0.023270323
10259,2011,0.028198762
10259,2012,0.023980943
10259,2013,0.026706131
10259,2014,0.031990083
10259,2015,0.041437177
10259,2016,0.033989177
10259,2017,0.02620169
10259,2018,0.034111284
10259,2019,0.057354072
10259,2020,0.027336294
10271,2006,0.008937916
10271,2007,0.006478363
10271,2008,0.006230203
10290,2006,0.016929585
10290,2007,0.022248157
