LPERMNO,fyear,prcc_f,ajex,adjust_prccf,prcc_pcchg
54594,2006,32.5,1,32.5,
54594,2007,19.28,1,19.28,-0.406769231
54594,2008,14.7,1,14.7,-0.237551867
54594,2009,19.7,1,19.7,0.340136054
54594,2010,26.39,1,26.39,0.339593909
54594,2011,12.05,1,12.05,-0.543387647
54594,2012,20.06,1,20.06,0.66473029
54594,2013,24.3,1,24.3,0.211365902
54594,2014,29.54,1,29.54,0.21563786
54594,2015,24.41,1,24.41,-0.17366283
54594,2016,34.94,1,34.94,0.431380582
54594,2017,44.69,1,44.69,0.2790498
54594,2018,30.09,1,30.09,-0.32669501
54594,2019,20.17,1,20.17,-0.329677634
54594,2020,41.75,1,41.75,1.069905801
50906,2006,14.31,1,14.31,
50906,2007,18.7,1,18.7,0.306778477
50906,2008,6.34,1,6.34,-0.660962567
50906,2009,8.34,1,8.34,0.315457413
50906,2010,12.67,1,12.67,0.519184652
65832,2006,24.1,1,24.1,
65832,2007,20.15,1,20.15,-0.163900415
21020,2006,30.23,1,30.23,
21020,2007,14.03,1,14.03,-0.535891499
21020,2008,10.67,1,10.67,-0.239486814
21020,2009,7.73,1,7.73,-0.275538894
21020,2010,7.79,1,7.79,0.007761966
21020,2011,0.35,1,0.35,-0.955070603
21020,2013,25.25,1,25.25,
21020,2014,53.63,1,53.63,1.123960396
21020,2015,42.35,1,42.35,-0.210330039
21020,2016,46.69,1,46.69,0.102479339
21020,2017,52.03,1,52.03,0.114371386
21020,2018,32.11,1,32.11,-0.382856045
21020,2019,28.68,1,28.68,-0.106820305
21020,2020,15.77,1,15.77,-0.45013947
21020,2021,17.96,1,17.96,0.138871275
11499,2006,8.97,1,8.97,
11499,2007,10.98,1,10.98,0.224080268
11499,2008,2.42,1,2.42,-0.779599271
11499,2009,3.95,1,3.95,0.632231405
11499,2010,5.96,1,5.96,0.508860759
11499,2011,5.55,1,5.55,-0.068791946
11499,2012,9.95,1,9.95,0.792792793
11499,2013,16.152,1,16.152,0.623316583
11499,2014,15.54,1,15.54,-0.037890045
11499,2015,7.68,1,7.68,-0.505791506
11499,2016,13.95,1,13.95,0.81640625
11499,2017,5.13,1,5.13,-0.632258065
11499,2018,6.75,1,6.75,0.315789474
11499,2019,7.66,1,7.66,0.134814815
11499,2020,6.96,1,6.96,-0.091383812
62500,2006,11.67,1,11.67,
26649,2006,64.21,3,192.63,
26649,2007,73.25,3,219.75,0.140788039
26649,2008,42.25,3,126.75,-0.423208191
26649,2009,79.55,3,238.65,0.882840237
26649,2010,33.84,1,33.84,-0.858202388
26649,2011,28.86,1,28.86,-0.147163121
